CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.74 62928 2085%
0:00.74 65276 2086%
0:00.74 61028 2098%
0:00.74 66028 2097%
0:00.74 61048 2090%
0:00.75 63200 2101%
0:00.74 61188 2097%
0:00.75 66428 2099%
0:00.75 63568 2098%
0:00.75 63612 2096%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.02 112288 1881%
0:01.01 114008 1883%
0:01.01 111708 1871%
0:01.02 111124 1862%
0:01.02 113432 1888%
0:01.01 111568 1878%
0:01.02 110672 1869%
0:01.01 111060 1874%
0:01.03 108068 1830%
0:01.01 112396 1883%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:00.89 52396 2219%
0:00.89 52340 2214%
0:00.89 50528 2227%
0:00.89 50008 2223%
0:00.89 52768 2217%
0:00.88 52352 2224%
0:00.89 53204 2215%
0:00.89 51192 2222%
0:00.89 54312 2201%
0:00.88 50000 2218%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:41.65 1242912 430%
0:41.73 1243368 429%
0:41.74 1244772 426%
0:41.90 1244744 424%
0:41.61 1243148 426%
0:41.69 1243624 427%
0:41.70 1246792 428%
0:41.69 1245292 427%
0:41.57 1244300 429%
0:41.90 1243056 425%
Dataset path: alignments/oliveros_2019_80p_trimmed
1:20.76 2022148 386%
1:19.24 2022220 392%
1:18.92 2022244 393%
1:19.13 2024352 391%
1:18.67 2022516 395%
1:19.13 2022136 390%
1:19.23 2021788 392%
1:19.37 2023016 391%
1:19.06 2022416 392%
1:18.59 2024240 393%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:48.46 1473196 494%
0:48.39 1473404 492%
0:48.23 1473380 493%
0:48.66 1473336 494%
0:48.36 1473868 492%
0:48.50 1474992 491%
0:48.23 1474220 494%
0:48.68 1474124 492%
0:48.32 1475568 495%
0:48.41 1473812 491%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:26.13 48468 2282%
0:26.03 46564 2264%
0:26.24 46468 2282%
0:26.44 46600 2269%
0:26.13 46440 2274%
0:26.84 47464 2256%
0:26.63 46456 2271%
0:26.23 46540 2266%
0:26.13 46504 2270%
0:26.74 46624 2267%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:35.85 47928 2295%
0:35.45 47248 2280%
0:35.05 47868 2298%
0:35.45 47312 2300%
0:35.35 48192 2293%
0:35.55 47340 2299%
0:35.15 47960 2294%
0:35.25 47364 2292%
0:35.65 47824 2296%
0:35.95 48536 2297%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:32.94 45824 2311%
0:32.94 46772 2305%
0:32.34 46584 2307%
0:33.05 48060 2306%
0:32.55 45964 2304%
0:32.84 46360 2304%
0:32.74 47420 2303%
0:32.34 47376 2305%
0:32.44 46004 2313%
0:32.84 46720 2301%
