Analyses,Comp_type,Apps,Execution_time_secs,RAM_usage_Mb,CPU_usage
Alignment concatenation,Desktop,AMAS,7.543944444444445,1768.7241777777776,502.98333333333335
Alignment concatenation,Desktop,AMAS (--check-align),122.13255555555556,1762.1715111111112,172.99444444444444
Alignment concatenation,Desktop,SEGUL,3.780111111111111,540.4439111111111,150.14444444444445
Alignment concatenation,Desktop,SEGUL (--datatype ignore),1.6936111111111112,542.3276,211.15
Alignment concatenation,Laptop,AMAS,19.879166666666666,1653.8924,244.23333333333332
Alignment concatenation,Laptop,AMAS (--check-align),298.68466666666666,1519.6869333333334,146.43333333333334
Alignment concatenation,Laptop,SEGUL,11.530666666666667,461.8091333333333,113.2
Alignment concatenation,Laptop,SEGUL (--datatype ignore),6.194166666666667,461.92,126.11666666666666
Summary statistics,Desktop,AMAS,82.43633333333334,3158.546333333333,295.3888888888889
Summary statistics,Desktop,SEGUL,1.3417222222222223,92.10982222222222,1452.4777777777779
Summary statistics,Laptop,AMAS,411.25916666666666,2280.869,93.01666666666667
Summary statistics,Laptop,SEGUL,15.740333333333334,68.78726666666667,286.93333333333334
