Benchmarking SEGUL Remove
Dataset path: alignments/oliveros_2019_80p_trimmed
0:00.57 32020 783%
0:00.31 34516 1685%
0:00.40 32732 1323%
0:00.55 33896 960%
0:00.45 35116 1183%
0:00.55 35052 953%
0:00.43 35688 1216%
0:00.43 31988 1243%
0:00.53 31948 989%
0:00.49 33920 1068%

Benchmarking SEGUL ignore datatype
0:00.69 33352 426%
0:00.51 32656 600%
0:00.47 33056 628%
0:00.52 33872 560%
0:00.49 32064 583%
0:00.50 31676 535%
0:00.49 33004 592%
0:00.54 35092 533%
0:00.58 33004 509%
0:00.46 32768 652%

Benchmarking AMAS
0:01.88 739436 976%
0:01.78 737336 1004%
0:01.78 741352 1019%
0:01.77 737036 1037%
0:01.78 739324 1021%
0:01.78 740324 1039%
0:01.78 740124 1036%
0:01.77 741848 1032%
0:01.78 737880 1013%
0:01.89 739004 962%

Benchmarking AMAS Check Align
3:32.51 739224 107%
3:23.24 736908 108%
3:27.14 737748 107%
3:32.84 740164 107%
3:29.67 741628 107%
3:27.56 740528 107%
3:31.68 739512 107%
3:34.58 741428 107%
3:25.21 742416 108%
3:28.50 740488 108%
