Benchmarking SEGUL
Dataset path: chan2020.nex
0:01.88 915336 159%
0:01.86 917460 154%
0:01.84 917436 155%
0:01.83 917316 163%
0:01.84 917300 159%
Dataset path: esselstyn2021.nex
0:03.31 1624300 137%
0:03.29 1624336 135%
0:03.28 1624156 137%
0:03.27 1624296 136%
0:03.19 1624244 138%
Dataset path: jarvis2014.nex
0:02.79 1336956 144%
0:02.83 1336948 142%
0:02.77 1337256 145%
0:02.78 1337348 145%
0:02.75 1337152 145%
Dataset path: oliveros2019.nex
0:03.55 1606244 149%
0:03.54 1606344 150%
0:03.62 1606464 143%
0:03.61 1606184 146%
0:03.60 1606264 148%

Benchmarking SEGUL ignore datatype
Dataset path: chan2020.nex
0:00.92 917232 212%
0:00.87 917216 229%
0:00.89 915148 222%
0:00.86 915100 222%
0:00.89 917040 218%
Dataset path: esselstyn2021.nex
0:01.21 1624248 201%
0:01.24 1624184 196%
0:01.23 1624208 200%
0:01.25 1624372 197%
0:01.28 1624348 192%
Dataset path: jarvis2014.nex
0:01.08 1337084 206%
0:01.18 1337136 196%
0:01.12 1336940 211%
0:01.24 1337072 184%
0:01.12 1337084 197%
Dataset path: oliveros2019.nex
0:01.54 1606444 200%
0:01.55 1606468 203%
0:03.53 1606444 102%
0:01.65 1606604 192%
0:01.72 1606324 180%

Benchmarking AMAS (--remove-empty)
Dataset path: chan2020.nex
0:05.56 928028 101%
0:05.59 928128 100%
0:05.57 928000 99%
0:05.60 928424 100%
0:05.66 928296 100%
Dataset path: esselstyn2021.nex
0:08.29 1634044 100%
0:08.38 1634276 100%
0:08.20 1634056 100%
0:08.43 1634288 100%
0:08.22 1634372 100%
Dataset path: jarvis2014.nex
0:08.77 1356700 100%
0:08.80 1356264 100%
0:08.71 1356528 100%
0:08.62 1356676 100%
0:08.78 1356612 100%
Dataset path: oliveros2019.nex
0:10.41 1611056 100%
0:10.51 1611012 100%
0:10.51 1611196 100%
0:10.66 1610964 100%
0:14.55 1611448 100%

Benchmarking AMAS KEEP EMPTY
Dataset path: chan2020.nex
0:05.71 928072 100%
0:05.62 928252 100%
0:05.39 927856 100%
0:05.40 927972 100%
0:05.60 928288 100%
Dataset path: esselstyn2021.nex
0:08.13 1634604 100%
0:08.17 1634268 100%
0:08.11 1634372 100%
0:08.10 1634460 100%
0:08.22 1634568 100%
Dataset path: jarvis2014.nex
0:08.65 1356668 100%
0:08.75 1356904 100%
0:08.76 1356536 100%
0:08.63 1356712 100%
0:08.65 1356452 100%
Dataset path: oliveros2019.nex
0:10.64 1611300 100%
0:10.62 1611116 100%
0:10.40 1611100 100%
0:10.58 1611232 100%
0:10.36 1611464 100%
