CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.80 600216 129%
0:03.78 605056 131%
0:03.65 607708 132%
0:03.78 614816 130%
0:03.77 606816 130%
0:03.75 613616 131%
0:03.68 612092 131%
0:03.76 607352 134%
0:03.79 606488 132%
0:03.70 612320 132%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.15 657560 157%
0:02.97 661812 162%
0:03.01 662940 160%
0:03.09 660516 163%
0:02.98 660096 160%
0:02.92 655360 163%
0:03.05 660344 163%
0:02.92 657984 162%
0:02.97 656556 161%
0:03.04 663404 162%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.92 526808 151%
0:02.90 535324 146%
0:02.89 530812 147%
0:02.88 528332 148%
0:02.92 531224 146%
0:02.82 529260 150%
0:02.87 526920 146%
0:02.90 525420 147%
0:02.94 522992 146%
0:02.92 530076 146%
Dataset path: alignments/chan_2020_loci/
0:01.91 392052 207%
0:01.93 383696 212%
0:01.93 385728 214%
0:01.88 390248 212%
0:01.90 382896 213%
0:01.94 385316 212%
0:01.93 392720 208%
0:01.89 381600 214%
0:01.91 390840 205%
0:01.91 389800 213%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.05 602788 213%
0:01.03 607476 206%
0:01.03 607276 213%
0:01.04 613256 213%
0:01.03 605364 213%
0:01.05 611856 223%
0:01.04 612752 214%
0:01.03 608036 220%
0:01.03 613732 225%
0:01.02 604176 211%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.61 660148 213%
0:01.63 656184 216%
0:01.62 654928 222%
0:01.62 660628 222%
0:01.56 658780 216%
0:01.62 659416 217%
0:01.61 658844 210%
0:01.61 655892 212%
0:01.60 657756 221%
0:01.61 659944 222%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.05 527352 240%
0:01.04 529168 234%
0:01.04 524648 236%
0:01.04 524932 229%
0:01.04 537380 233%
0:01.03 535988 230%
0:01.04 532112 230%
0:01.04 525588 240%
0:01.04 529740 244%
0:01.04 528340 234%
Dataset path: alignments/chan_2020_loci/
0:00.99 382908 311%
0:00.99 390904 313%
0:00.99 384648 308%
0:00.99 385164 312%
0:00.99 389800 313%
0:00.98 381876 309%
0:00.97 390084 322%
0:00.99 393864 309%
0:00.98 388176 309%
0:00.99 384248 309%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.62 2054380 821%
0:01.63 2052608 819%
0:01.62 2053356 819%
0:01.60 2053668 830%
0:01.69 2053316 797%
0:01.65 2054440 815%
0:01.63 2055336 812%
0:01.68 2056440 798%
0:01.67 2054012 808%
0:01.67 2052212 806%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.74 2320164 633%
0:03.66 2316608 635%
0:03.66 2318632 643%
0:03.64 2318924 644%
0:03.64 2314488 649%
0:03.66 2316712 642%
0:03.63 2317588 647%
0:03.67 2317184 645%
0:03.61 2317120 656%
0:03.68 2319092 644%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.60 1843832 1090%
0:01.57 1842060 1117%
0:01.58 1842016 1097%
0:01.58 1842580 1096%
0:01.57 1841852 1103%
0:01.54 1843008 1131%
0:01.56 1842040 1116%
0:01.58 1842712 1108%
0:01.55 1841884 1129%
0:01.58 1845308 1112%
Dataset path: alignments/chan_2020_loci/
0:01.75 1290568 694%
0:01.66 1292828 740%
0:01.73 1291396 708%
0:01.81 1294004 678%
0:01.75 1291028 698%
0:01.71 1291848 728%
0:01.75 1293808 701%
0:01.69 1291816 723%
0:01.71 1291600 716%
0:01.78 1293756 693%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:10.67 2053000 207%
0:11.11 2052680 206%
0:10.90 2052960 206%
0:11.08 2055100 203%
0:10.82 2055212 207%
0:11.31 2052948 202%
0:11.04 2052920 205%
0:10.81 2052956 209%
0:11.12 2054616 205%
